#ID,radius,vdisp,surfdens
593,9.1,0.47,19.28
594,16.1,2.27,109.04
595,11.0,2.09,90.28
596,9.4,0.89,39.31
597,21.6,1.76,146.43
598,37.3,1.66,35.84
600,8.4,1.99,112.35
601,12.8,1.75,53.51
602,11.0,1.28,36.58
603,2.4,3.05,1371.39
605,3.4,2.49,457.97
609,10.5,0.57,169.47
610,17.9,3.39,38.90
611,4.4,1.79,228.60
612,9.7,1.19,34.24
613,9.4,1.75,68.47
614,16.6,1.39,35.07
615,15.8,2.07,47.69
617,19.6,2.49,41.27
618,6.5,1.53,68.29
620,9.8,2.39,49.29
621,8.3,1.05,28.06
622,5.0,1.18,62.75
624,3.3,0.70,180.05
625,15.4,1.75,45.71
626,17.7,1.65,45.60
629,12.5,1.66,54.68
630,8.3,1.12,47.98
632,5.7,1.93,210.36
634,7.6,1.15,65.95
635,20.4,1.93,70.07
636,4.7,0.77,69.74
637,7.2,0.55,44.85
638,14.2,1.78,92.80
639,7.5,0.30,81.67
640,17.9,1.34,32.43
641,16.4,0.75,23.43
642,14.0,2.63,243.96
644,13.0,1.53,51.88
646,8.8,0.50,31.11
647,9.3,1.68,86.47
648,10.9,2.18,242.60
649,18.0,2.05,65.96
650,30.6,1.78,126.30
651,16.5,1.43,18.31
652,24.0,2.36,131.16
655,10.1,0.84,4.67
657,16.8,0.87,29.97
658,18.0,1.56,90.17
659,16.2,1.15,26.36
660,3.1,1.25,352.69
661,17.4,0.91,9.53
663,10.2,1.46,60.85
664,15.8,0.88,16.05
665,29.4,1.26,9.50
667,18.4,2.35,52.95
668,4.8,1.14,322.18
669,17.2,1.43,37.59
670,6.5,0.73,64.97
671,14.0,2.12,158.49
672,18.0,3.04,76.17
673,11.5,1.02,110.35
674,13.9,0.96,27.98
675,17.1,1.40,52.88
677,13.6,1.80,59.37
678,13.3,1.46,65.24
679,16.1,2.44,111.31
680,17.6,1.97,47.75
681,20.0,1.62,52.94
682,9.0,1.27,55.68
683,13.2,2.94,119.93
684,13.6,1.63,114.64
685,15.7,2.04,37.16
686,4.6,1.26,132.38
687,15.7,1.29,73.18
688,16.5,0.47,19.75
689,10.3,1.19,97.69
690,11.1,1.24,54.34
691,14.0,1.47,31.44
692,3.8,0.99,215.32
693,18.5,1.68,59.17
694,17.9,1.36,92.84
